Foreign highly skilled personnel ,Total expenditure on R&D (%) ,Scientific research legislation ,Mobile broadband subscribers ,EParticipation ,Use of big data and analytics ,Total public exp. on education per student ,Health infrastructure ,Skilled labor ,Gross Domestic Product (GDP) ,GDP (PPP) per capita ,Exports of goods  growth ,Government budget surplus/deficit (%) ,Tax evasion ,Digital/Technological skills
0.6500083661641896,0.971144278606965,1.0051595414545038,0.5418532246108226,0.0580912863070539,1.4960553371847416,0.1263760673374422,1.4558303886925794,1.4063645154723126,-0.172063813662278,0.2184414699437948,-0.920210542780904,-0.393149085247178,0.6155711101552417,-0.41764378994165
0.6500083661641896,1.080597014925373,1.005159541454505,-0.1205633802816902,-0.0912863070539419,1.4960553371847416,-0.1042958630588605,1.2968197879858654,1.334703277687296,-0.1703881147244426,0.2614637213995939,-0.7531941768555998,-1.0315297781237838,0.592206624173933,-1.278299527646568
0.5801858809570892,1.1502487562189054,1.0408539084372144,0.5449962935507784,0.2572614107883815,1.421078767362811,0.0993688101135574,1.4876325088339222,1.6669508346905535,-0.1099867848288311,0.3268178130979999,-0.1900384907456543,-0.7746204748929546,0.596879521370195,0.5331758821894979
0.7695349933831249,1.2696517412935324,0.9192699709023572,0.1716827279466269,-0.0829875518672197,1.2598791422456603,0.0962629676419506,1.275618374558304,1.3216739617263842,0.0667232849792632,0.3774369272164442,0.8405951643109971,-0.4632152588555859,0.5875337269776714,0.7872742428452353
0.9766355850991012,1.2696517412935324,1.3542950685041415,0.7502446256486284,0.1991701244813279,1.5091762369035795,0.0075018405430802,1.4275618374558303,1.4454524633550483,0.2095004512961913,0.4675586617020096,0.7037928143319792,0.6811989100817439,0.9380010166972976,1.311864406779662
0.4440912064008759,1.488557213930348,0.8356112982866292,0.0910896960711637,0.3734439834024899,1.421078767362811,0.0075018405430802,1.187279151943463,1.2434980659609118,0.2611043617681671,0.5146646559900973,-0.6474451210435981,-0.3892565200467108,0.6342626989402881,1.065962767435399
1.0476415022588643,1.399004975124378,1.2260184371600258,0.8247887323943658,0.5726141078838175,1.5091762369035795,4.058326080317909,1.3144876325088335,1.4649964372964166,0.3727287614680647,0.7506092170057967,-0.354537022008768,-0.0778513040093422,0.9753841942673912,1.311864406779662
1.2074048158683317,1.4587064676616917,1.1200507851801036,0.5633209785025944,0.5892116182572615,1.5091762369035795,0.4754479838458316,1.3180212014134274,1.1132049063517913,0.5713371696683259,0.9656450620747852,0.519151605771341,-0.5099260412611912,1.0548234466038398,1.0987496526813016
0.3494166501878585,1.6179104477611936,0.8021478292403382,0.3406375092661228,-0.1576763485477179,0.899991607100393,0.4677828025020339,1.2438162544169613,0.3314459486970681,0.7282054406897787,1.0548439736765216,-0.2236096195748611,-0.4554301284546517,0.741739334454307,1.008585718255071
0.5328486028505803,1.627860696517413,0.9973513986770364,0.5633209785025944,0.4066390041493775,0.9824658339045168,-0.3518637027544629,1.2084805653710244,0.6311202157980452,0.6235504252086055,0.9723303485725192,0.9211658735010936,1.0354223433242506,0.4193094279122507,0.7708808002222848
0.5328486028505803,1.7572139303482586,0.6069442598036398,0.1900667160859895,-0.0746887966804979,0.9262334065380692,1.0995218927963557,1.469964664310954,1.1327488802931596,0.5920929860574231,1.041135407180947,-0.1757707609932414,0.6811989100817439,0.003421577444961,1.0413726035009734
